town,Count,Black,Hispanic,White,Asian,NativeA,BP,HP,WP,AP,Population,pCapita,WhiteAlone,BlackAlone,AsianAlone,Hispanicalone,,pAsian(capita),2,,pHispanic(capita),3,,pWhite(capita),4,,pBlack(capita),5,,,,,%Pop(W),%Pop(B),%Pop(A),%Pop(H),,,TotalWBond,TotalAveB,TotalHBond,TotalAbond,TotalBbond
Canton,5,1,0,4,0,0,20,0,80,0,10292,0.486,9462,51,88,625,,0,0,,0,0,,0.042,0.042,,1.961,1.961,,,,,0.92,0,0.01,0.06,,,29125,27300,0,0,20000
Chaplin,2,2,0,0,0,0,100,0,0,0,2305,0.868,2066,24,0,118,,#DIV/0!,#DIV/0!,,0,0,,0,0,,8.333,8.333,,,,,0.9,0.01,0,0.05,,,0,0,0,0,0
Cheshire,27,2,0,25,0,0,7.407,0,92.593,0,29261,0.923,23215,1330,2246,1982,,0,0,,0,0,,0.108,0.108,,0.15,0.15,,,,,0.79,0.05,0.08,0.07,,,3680,3630,0,0,3000
Chester,2,0,0,2,0,0,0,0,100,0,3994,0.501,4012,30,27,113,,0,0,,0,0,,0.05,0.05,,0,0,,,,,1,0.01,0.01,0.03,,,50000,50000,0,0,0
Clinton,23,2,0,21,0,0,8.696,0,91.304,0,13260,1.735,11909,38,205,860,,0,0,,0,0,,0.176,0.176,,5.263,5.263,,,,,0.9,0,0.02,0.06,,,21452,20022,0,0,5000
Colchester,4,0,0,4,0,0,0,0,100,0,16068,0.249,15226,162,172,319,,0,0,,0,0,,0.026,0.026,,0,0,,,,,0.95,0.01,0.01,0.02,,,25000,25000,0,0,0
Colebrook,1,0,0,1,0,0,0,0,100,0,1485,0.673,1543,5,10,25,,0,0,,0,0,,0.065,0.065,,0,0,,,,,1.04,0,0.01,0.02,,,0,0,0,0,0
Columbia,3,1,0,1,0,1,33.333,0,33.333,0,5485,0.547,4853,126,57,0,,0,0,,#DIV/0!,#DIV/0!,,0.021,0.021,,0.794,0.794,,,,,0.88,0.02,0.01,0,,,50000,50167,0,0,100000
Cornwall,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1420,0,1453,0,16,4,,0,0,,0,0,,0,0,,#DIV/0!,#DIV/0!,,,,,1.02,0,0.01,0,,,0,0,0,0,0
Coventry,12,0,0,12,0,0,0,0,100,0,12435,0.965,11587,53,198,487,,0,0,,0,0,,0.104,0.104,,0,0,,,,,0.93,0,0.02,0.04,,,26750,26750,0,0,0
Cromwell,9,1,0,8,0,0,11.111,0,88.889,0,14005,0.643,11574,1024,506,790,,0,0,,0,0,,0.069,0.069,,0.098,0.098,,,,,0.83,0.07,0.04,0.06,,,5625,5278,0,0,2500
Danbury,661,232,26,374,1,7,35.098,3.933,56.581,0.151,80893,8.171,47009,4897,4736,22465,,0.021,0.021,,0.116,0.116,,0.796,0.796,,4.738,4.738,,,,,0.58,0.06,0.06,0.28,,,19029,22760,27240,50000,29945
Darien,2,2,0,0,0,0,100,0,0,0,20732,0.096,19287,71,846,515,,0,0,,0,0,,0,0,,2.817,2.817,,,,,0.93,0,0.04,0.02,,,0,37500,0,0,37500
Deep River,6,1,0,5,0,0,16.667,0,83.333,0,4629,1.296,4171,142,103,145,,0,0,,0,0,,0.12,0.12,,0.704,0.704,,,,,0.9,0.03,0.02,0.03,,,21200,17667,0,0,0
Derby,574,178,8,383,0,0,31.01,1.394,66.725,0,12902,44.489,8471,528,374,3273,,0,0,,0.244,0.244,,4.521,4.521,,33.712,33.712,,,,,0.66,0.04,0.03,0.25,,,10791,12160,16750,0,15086
Durham,2,0,0,2,0,0,0,0,100,0,7388,0.271,6789,18,145,235,,0,0,,0,0,,0.029,0.029,,0,0,,,,,0.92,0,0.02,0.03,,,25250,25250,0,0,0
East Granby,1,0,1,0,0,0,0,100,0,0,5148,0.194,4334,314,171,182,,0,0,,0.549,0.549,,0,0,,0,0,,,,,0.84,0.06,0.03,0.04,,,0,150000,150000,0,0
East Haddam,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9126,0,8573,84,93,205,,0,0,,0,0,,0,0,,0,0,,,,,0.94,0.01,0.01,0.02,,,0,0,0,0,0
East Hampton,9,1,0,8,0,0,11.111,0,88.889,0,12959,0.694,11456,67,463,730,,0,0,,0,0,,0.07,0.07,,1.493,1.493,,,,,0.88,0.01,0.04,0.06,,,31438,28222,0,0,2500
East Hartford,135,87,8,39,0,0,64.444,5.926,28.889,0,51252,2.634,19613,12402,2933,14897,,0,0,,0.054,0.054,,0.199,0.199,,0.701,0.701,,,,,0.38,0.24,0.06,0.29,,,69515,67317,33275,0,69834
East Haven,313,51,1,260,0,1,16.294,0.319,83.067,0,29257,10.698,23026,1014,1400,3115,,0,0,,0.032,0.032,,1.129,1.129,,5.03,5.03,,,,,0.79,0.03,0.05,0.11,,,27529,32455,10000,0,58626
East Lyme,19,1,1,17,0,0,5.263,5.263,89.474,0,19159,0.992,15423,774,1069,1307,,0,0,,0.077,0.077,,0.11,0.11,,0.129,0.129,,,,,0.81,0.04,0.06,0.07,,,4647,4474,5000,0,1000
East Windsor,23,3,0,19,1,0,13.043,0,82.609,4.348,11162,2.061,8522,902,769,720,,0.13,0.13,,0,0,,0.223,0.223,,0.333,0.333,,,,,0.76,0.08,0.07,0.06,,,12868,17152,0,25000,41667
Eastford,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1749,0,1624,6,28,33,,0,0,,0,0,,0,0,,0,0,,,,,0.93,0,0.02,0.02,,,0,0,0,0,0
Easton,9,2,2,4,1,0,22.222,22.222,44.444,11.111,7490,1.202,6804,38,218,421,,0.459,0.459,,0.475,0.475,,0.059,0.059,,5.263,5.263,,,,,0.91,0.01,0.03,0.06,,,4750,28389,80000,75000,750
Ellington,8,0,0,8,0,0,0,0,100,0,15602,0.513,14848,112,349,250,,0,0,,0,0,,0.054,0.054,,0,0,,,,,0.95,0.01,0.02,0.02,,,37813,37813,0,0,0
Enfield,737,152,0,571,3,6,20.624,0,77.476,0.407,44654,16.505,36548,2450,1055,3715,,0.284,0.284,,0,0,,1.562,1.562,,6.204,6.204,,,,,0.82,0.05,0.02,0.08,,,15590,21933,0,6333,42411
Essex,2,0,0,2,0,0,0,0,100,0,6683,0.299,6464,27,13,106,,0,0,,0,0,,0.031,0.031,,0,0,,,,,0.97,0,0,0.02,,,0,0,0,0,0
Fairfield,100,13,2,83,0,2,13,2,83,0,59404,1.683,52402,778,2836,3139,,0,0,,0.064,0.064,,0.158,0.158,,1.671,1.671,,,,,0.88,0.01,0.05,0.05,,,35889,33138,10000,0,23846
